"","SEC","COG"
"320","E05001372",320
"321","E05009897",321
"322","E05015188",322
"323","E05001347",323
"324","E05012250",324
"325","E05012200",325
"326","E05008646",326
"327","E05011114",327
"328","E05011104",328
"329","E05014585",329
"330","E05015249",330
"331","E05012236",331
"332","E05001375",332
"333","E05011033",333
"334","E05014043",334
"335","E05014933",335
"336","E05013025",336
"337","E05014533",337
"338","E05010640",338
"339","E05010629",339
"340","E05011043",340
"341","E05012242",341
"342","E05013806",342
"343","E05008954",343
"344","E05014038",344
"345","E05014662",345
"346","E05014651",346
"347","E05014336",347
"348","E05014320",348
"349","E05007060",349
"350","E05014664",350
"351","E05014037",351
"352","E05014659",352
"353","E05012014",353
"354","E05008559",354
"355","W05001271",355
"356","E05014519",356
"357","E05014521",357
"358","E05015316",358
"359","E05014536",359
"360","E05014534",360
"361","E05001396",361
"362","E05014334",362
"363","E05014529",363
"364","E05015015",364
"365","W05001344",365
"366","E05008648",366
"367","E05012431",367
"368","E05011095",368
"369","E05014033",369
"370","E05001382",370
"371","E05014047",371
"372","E05014044",372
"373","E05014537",373
"374","E05005152",374
"375","E05014235",375
"376","E05014889",376
"377","E05015304",377
"378","E05010626",378
"379","E05014034",379
"380","E05013210",380
"381","E05010946",381
"382","W05001494",382
"383","E05014050",383
"384","E05014041",384
"385","E05001355",385
"386","E05005318",386
"387","E05015546",387
"388","E05012211",388
"389","E05013205",389
"390","E05012841",390
"391","E05011453",391
"392","E05009857",392
"393","E05001386",393
"394","E05013176",394
"395","E05001374",395
"396","E05001383",396
"397","E05015300",397
"398","E05005209",398
"399","E05012212",399
"400","E05005323",400
"401","E05011414",401
"402","E05001407",402
"403","E05001387",403
"404","W05001041",404
"405","E05008616",405
"406","E05006905",406
"407","E05012253",407
"408","E05005162",408
"409","E05014305",409
"410","E05013180",410
"411","E05011045",411
"412","E05013186",412
"413","E05011037",413
"414","E05001391",414
"415","E05014237",415
"416","E05015498",416
"417","E05015335",417
"418","E05001460",418
"419","E05009954",419
"420","E05015331",420
"421","E05014134",421
"422","E05014935",422
"423","E05008560",423
"424","E05014127",424
"425","E05014262",425
"426","E05015303",426
"427","E05008635",427
"428","E05014930",428
"429","E05014934",429
"430","E05014995",430
"431","E05010860",431
"432","E05011413",432
"433","E05010637",433
"434","E05011144",434
"435","E05015029",435
"436","E05005164",436
"437","W05001495",437
"438","W05001501",438
"439","E05013175",439
"440","E05014531",440
"441","E05011168",441
"442","E05008613",442
"443","E05010500",443
"444","E05010497",444
"445","E05008647",445
"446","E05015288",446
"447","E05015326",447
"448","E05013668",448
"449","E05012230",449
"450","E05008627",450
"451","E05014530",451
"452","E05008634",452
"453","E05001463",453
"454","E05010649",454
"455","E05011039",455
"456","E05010862",456
"457","E05008655",457
"458","E05008641",458
"459","E05008657",459
"460","E05012252",460
"461","E05012245",461
"462","E05012217",462
"463","E05011030",463
"464","E05008656",464
"465","E05012233",465
"466","E05014886",466
"467","E05010644",467
"468","W05001418",468
"469","W05001333",469
"470","E05011152",470
"471","E05010634",471
"472","W05001504",472
"473","E05012604",473
"474","E05010863",474
"475","E05005207",475
"476","E05010624",476
"477","E05014898",477
"478","E05014291",478
"479","E05015382",479
"480","E05009461",480
"481","E05013072",481
"482","E05015285",482
"483","W05001746",483
"484","E05008615",484
"485","E05010625",485
"486","E05010882",486
"487","E05000973",487
"488","E05011529",488
"489","E05013859",489
"490","E05011160",490
"491","E05014178",491
"492","W05001551",492
"493","E05013125",493
"494","E05010643",494
"495","E05000946",495
"496","E05011536",496
"497","E05010633",497
"498","W05001429",498
"499","E05010892",499
"500","E05006907",500
"501","E05012851",501
"502","E05001359",502
"503","W05001208",503
"504","E05010632",504
"505","E05015181",505
"506","E05008188",506
"507","E05015220",507
"508","E05010023",508
"509","E05010645",509
"510","E05010462",510
"511","E05010650",511
"512","E05011151",512
"513","E05008638",513
"514","E05012244",514
"515","E05013209",515
"516","E05013237",516
"517","E05014128",517
"518","E05011044",518
"519","W05001588",519
"520","E05001405",520
"521","E05010648",521
"522","E05009312",522
"523","E05013869",523
"524","E05012241",524
"525","E05007045",525
"526","E05013792",526
"527","E05001356",527
"528","E05005210",528
"529","E05014713",529
"530","E05015491",530
"531","E05014907",531
"532","E05009944",532
"533","E05015320",533
"534","E05010940",534
"535","E05008619",535
"536","W05001413",536
"537","E05013653",537
"538","E05011031",538
"539","E05009630",539
"540","E05014120",540
"541","E05012193",541
"542","E05015296",542
"543","E05007883",543
"544","E05014900",544
"545","E05011024",545
"546","E05013077",546
"547","W05001428",547
"548","W05001416",548
"549","W05001404",549
"550","E05014605",550
"551","E05009064",551
"552","E05012018",552
"553","E05015302",553
"554","E05010298",554
"555","W05001426",555
"556","E05014990",556
"557","E05010759",557
"558","E05015006",558
"559","E05015005",559
"560","E05015013",560
"561","E05014989",561
"562","E05012210",562
"563","E05014135",563
"564","E05015007",564
"565","E05014130",565
"566","E05010921",566
"567","E05014943",567
"568","E05010944",568
"569","E05014131",569
"570","E05011027",570
"571","E05006651",571
"572","E05000939",572
"573","E05013075",573
"574","E05014129",574
"575","E05014932",575
"576","E05000948",576
"577","E05005219",577
"578","E05006401",578
"579","E05015191",579
"580","W05001611",580
"581","E05000940",581
"582","E05007868",582
"583","E05010948",583
"584","E05011041",584
"585","E05012199",585
"586","E05014199",586
"587","E05014553",587
"588","E05013074",588
"589","E05015204",589
"590","E05014938",590
"591","E05000936",591
"592","E05014942",592
"593","E05011040",593
"594","E05011028",594
"595","W05001739",595
"596","E05015339",596
"597","E05010937",597
"598","E05000945",598
"599","E05013824",599
"600","E05015346",600
"601","E05010233",601
"602","E05011038",602
"603","E05015301",603
"604","E05014249",604
"605","E05014940",605
"606","W05001720",606
"607","E05013174",607
"608","E05014181",608
"609","E05013071",609
"610","E05015282",610
"611","E05014121",611
"612","E05000947",612
"613","E05013105",613
"614","E05013098",614
"615","E05000950",615
"616","E05014561",616
"617","E05001370",617
"618","E05014137",618
"619","E05000941",619
"620","W05001409",620
"621","E05015299",621
"622","E05014931",622
"623","E05014122",623
"624","E05015313",624
"625","E05013801",625
"626","W05001525",626
